n_estimators,max_depth,min_samples_leaf,features,n_features,r2_train,rmse_train,mae_train,wmapE_train,r2_val,rmse_val,mae_val,wmapE_val,r2_test,rmse_test,mae_test,wmapE_test
100,10,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9902954642134963,0.06996280021459005,0.013770501429918793,0.0038918924301494396,0.9803833535169524,0.09752769297936652,0.017158453776097444,0.004852038530769202,0.9310732839569474,0.18214289020580282,0.018561444986628737,0.005238358633359148
100,10,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9693513986822407,0.12433263289647482,0.014925512144887448,0.004218327707848293,0.9805267081877086,0.0971706827535636,0.016939171937460903,0.004790030383412442,0.9642825020850002,0.1311169819000508,0.017754400883840477,0.005010596923729973
100,10,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9535288638798324,0.15309867978138714,0.015681716963414416,0.004432050339797868,0.9786567750122502,0.10172919070278547,0.017061241375899438,0.004824548972701543,0.9754004731849344,0.10881325618441864,0.017029062415416806,0.004805893947700262
100,20,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9910457774742505,0.06720378629105793,0.004028314339840513,0.0011385036460201134,0.9808872706196429,0.09626688598158971,0.009895566497280055,0.0027982515531485143,0.9404712535432406,0.16927070327364707,0.011337403301243746,0.0031996099714072645
100,20,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9699599568612529,0.12309207040330468,0.006061199601508376,0.0017130485020307904,0.9809159545982578,0.09619462120836969,0.009916494086319408,0.0028041694213725436,0.9647758713576748,0.1302082671348004,0.010870223040804221,0.003067763676446322
100,20,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9539204796060397,0.15245222798538988,0.008898523190768162,0.0025149480011247543,0.9791341840396535,0.10058500794123483,0.011125806909743326,0.003146136855709782,0.9757773152932782,0.10797658007673525,0.011219284025888444,0.0031662746827878004
100,None,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.991073692779074,0.06709894867933897,0.003950513798400415,0.0011165152427776302,0.9815919085194459,0.09447566341460358,0.009691237177110384,0.002740471653667699,0.931664326448707,0.18136027665079946,0.011353454455567957,0.003204139882892614
100,None,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.969944808827841,0.12312310178005835,0.006043571725525667,0.0017080664178673436,0.9807076891101298,0.09671808616011912,0.009940371993323389,0.002810921575519372,0.9652728143682089,0.1292865135840517,0.010844566834722553,0.0030605230543544557
100,None,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9539185139166778,0.15245547965255496,0.008902022136420936,0.002515936891774005,0.9790907420564294,0.10068966093565854,0.011123771035141642,0.003145561154534135,0.9757964090201972,0.10793401498120876,0.011210450634337519,0.0031637817479475464
200,10,1,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9900428804044874,0.07086742655828324,0.013767925886544328,0.003891164516368404,0.9810207358617445,0.09593017865649087,0.017019661966738518,0.00481279121772152,0.929188488516654,0.18461643577905,0.018560135557735676,0.005237989090031478
200,10,2,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9691034947272252,0.12483445799081928,0.01496664822435456,0.00422995380564138,0.980321179617725,0.09768212508210616,0.01697033281652396,0.004798842004077075,0.9623621386376487,0.13459561121867789,0.017762234749599964,0.00501280777522151
200,10,5,Unnamed: 0+carat+cut+color+clarity+depth+table+price+x+y,10,0.9534484081562887,0.1532311527450786,0.015681465951085334,0.004431979397357,0.9785530361170258,0.10197611874122228,0.017035056155342777,0.004817144360331715,0.9752737291526242,0.10909321506728822,0.016964581459820643,0.0047876963143437135
